gene,mean,std
ABCC11,-0.013419547327551306,0.9582195330487073
ACTG2,-0.005292666726400478,1.0697954720313558
ADGRE5,0.006264580250299834,1.0543697569746349
ADH1B,-0.014116693147573682,1.167095297200883
ADIPOQ,-0.01194230795145202,1.1206610600933047
AIF1,-0.01118179252590726,1.055922179046646
AKR1C1,-0.005246255333054827,1.0335455161299147
AKR1C3,-0.002191047951117815,1.0059252703115853
ALDH1A3,0.0013230985020766257,1.0549797180162628
ANGPT2,-0.000624269361553489,1.118608077587608
ANKRD28,-0.00642751354624226,0.9946503530339341
ANKRD29,0.011702840899564733,1.2124314895381243
APOBEC3A,0.003376475075623594,1.0513657927376956
APOBEC3B,0.009260634159435096,1.0642455558500747
APOC1,-0.008556058216906753,1.0519350524658526
AQP3,-0.006319269132615522,1.0161674338349314
AVPR1A,-0.002522596708259334,1.0492903071617727
BACE2,-0.00760814955890954,1.033955331905975
BANK1,0.054527598167288784,1.3217319300924024
C15orf48,-0.026342699457086286,1.122557561339244
C1QA,-0.009631352426908518,1.0251302633558357
C1QC,-0.012117966012828985,1.028269839786729
C2orf42,0.00428821146970502,1.0382931766670758
C5orf46,-0.003014685736342931,0.9739647173903284
C6orf132,-0.01310366673386069,0.9487540243514758
CAV1,-0.013443922522322687,1.194829076665975
CAVIN2,-0.005246397389491556,1.0345180801330853
CCL5,0.003172911280202678,1.1330517309723682
CCL8,-0.00705201649246566,1.108732597161695
CCPG1,-0.012423021126201042,0.9957502185956719
CCR7,0.01724784525918038,1.1272907033064146
CD14,-0.018585164667780655,1.0594110865462782
CD163,-0.013338947074723422,1.1060025356432592
CD19,0.03370146649348443,1.216064807949664
CD247,0.015242816201113112,1.1158766353063005
CD27,0.011975797895751069,1.0841447566741549
CD274,0.004501301768776519,1.0634224458367436
CD3E,0.03287570835045211,1.2525397831323175
CD3G,0.016202936483754888,1.1188638023621706
CD4,-0.001937763914447427,1.0891760557397803
CD68,-0.013813465095287506,1.0910497054342376
CD69,0.013723278429689923,1.1040899679913982
CD79A,0.03467551293209534,1.2000221555032642
CD79B,0.02682921238926247,1.1661151501268656
CD80,0.005461635841971784,1.0953231083666453
CD83,0.015370456688236963,1.197212914210757
CD86,0.001053577348492722,1.0357089089786624
CD8A,0.0043015667783093256,1.1778729818984037
CD93,-0.011498715024296906,1.1131255095279005
CDC42EP1,-0.0037871814554260416,0.9809970454240405
CEACAM6,-0.03783204790901128,1.1393568661463032
CEACAM8,0.0020072610508523503,1.0458206699681545
CENPF,-0.010857700508658214,1.0021528052458657
CLEC14A,-0.006696385764604425,1.1057161249142182
CLEC9A,-9.306178915735213e-05,1.0461328759898967
CLECL1,0.013297464600266826,1.098358252318509
CRISPLD2,-0.0052152212829813865,1.0124505715039713
CTH,0.001549568081054345,1.0353044684020092
CTLA4,0.005838657523818502,1.177725821477814
CTSG,-1.3465519821579445e-05,1.1941946179169618
CX3CR1,-0.016674114702548287,1.0815804696547282
CXCL16,-0.006651810174010531,1.0031321796275077
CXCL5,0.0008340936437128638,1.0967120650681366
CXCR4,0.02408887511959788,1.1239964200177728
CYTIP,0.019521182621639474,1.0886550353484705
DAPK3,-0.005140653728694052,0.9993904995229168
DMKN,-0.006392140190707075,0.9838788170789322
DNAAF1,-0.005537618677806663,0.979362282141947
DNTTIP1,-0.009161276200897487,0.9936063068310897
DPT,-0.005836873234546609,1.1101768641010132
DSC2,-0.014415250246580505,0.9773018327203048
DUSP2,0.005264558154877556,1.0776854501021933
DUSP5,0.00043599821580713437,1.046537561890108
EGFL7,-0.0055886865590281205,1.059607990967519
EGFR,-0.0013066717271146893,1.0461845115609685
EIF4EBP1,-0.01050307236116269,0.9730657578189652
ERN1,-0.00195752562728583,1.0695083908667824
ESM1,-0.002884429500836844,1.0625287403437835
FAM49A,0.005798354642823453,1.059492020293651
FASN,-0.018412370491802655,0.9578998310440316
FBLN1,-0.018178974512269738,1.1986174468316673
FCER1A,-0.00496402973153476,1.0737770437456233
FCER1G,-0.025590562688668172,1.1245309215681012
FCGR3A,-0.005608279495654045,1.0277319695115004
FGL2,-0.007805796457611831,1.0944533762511812
FOXC2,0.0008291813864568117,1.0679827701599176
FOXP3,0.0023072701492851113,1.132805767300739
FSTL3,-0.0002832048112981273,1.0414060907759537
GJB2,0.0015640484698182095,1.0361583085724575
GLIPR1,0.014614931139919409,1.0742911381868907
GNLY,-0.0007401220573584738,1.148095638791519
GPR183,0.013180794305981906,1.0870833703424216
GZMA,0.001051392642904313,1.1074362490469607
GZMK,0.0054522619792310755,1.075893860924414
HAVCR2,-0.0072054116110609545,1.0155169323484252
HOOK2,-0.014135765159998379,0.9719774534808007
HOXD8,-0.0037438059672052553,1.0410058910099842
HOXD9,-0.0012249074626436937,1.0551336397766007
HPX,-0.005850228152438455,1.0027756994306563
IGF1,-0.0061220223154149905,1.030293907734023
IGSF6,-0.005581227435201526,1.0614577522009825
IL2RA,0.0058186759377201695,1.0790251509020952
IL2RG,0.01971510633169379,1.0879320099854555
