gene,mean,std
ABCC11,0.0010003778376146235,1.0743164408330945
ACTG2,0.001293896877399132,1.063683441750619
ADGRE5,-0.006506016565117148,1.0358191913509114
ADH1B,-0.0017036559627651715,1.1953992399865114
ADIPOQ,-0.002171147370749607,1.1982357421648846
AIF1,-0.012766425481014981,1.1691143523344485
AKR1C1,0.0030499535266403227,1.0301803910319518
AKR1C3,0.0008538425460304701,1.019397981628286
ALDH1A3,0.0019106448613126375,1.0505639623592127
ANGPT2,-0.005623945746870755,1.2652419276724198
ANKRD28,0.018016023673042465,1.1288615279865744
ANKRD29,0.001808099793459664,1.1013156322673299
APOBEC3A,0.0007164090850531967,1.0081487099945279
APOBEC3B,-0.005110195303850808,0.9995099688345487
APOC1,-0.008950471225601995,1.1422118733248867
AQP3,-0.0013632163264788895,1.024591181682465
AVPR1A,0.002435379413696991,1.1243518753150052
BACE2,-0.0020100451186777835,1.0616232578219709
BANK1,-0.016068755027514738,1.4128938976819816
C15orf48,0.003913220481155782,1.0784992260949768
C1QA,-0.011888977021107663,1.103653272530654
C1QC,-0.015325548457454652,1.1871052282541217
C2orf42,0.0036042276869484016,1.02804325383827
C5orf46,0.004574816626559927,1.036031429933417
C6orf132,0.014394650525298227,1.0863380282546793
CAV1,-0.003608551396133868,1.2806440606525071
CAVIN2,-0.002439298290802036,1.0931429833345108
CCL5,-0.012133982713555883,1.253887169803683
CCL8,-0.0021740053927488774,1.117652036838061
CCPG1,0.009206937624097824,1.053019264449499
CCR7,-0.009594550603071518,1.0698400442593927
CD14,-0.01485601249547157,1.2641328977084512
CD163,-0.013542570829915496,1.2712188611908763
CD19,-0.009888455578022001,1.1182490187052796
CD247,-0.010171104805363406,1.0620502956603723
CD27,-0.013318624934505885,1.0441175032651742
CD274,0.0012713137517949386,1.0190602740524644
CD3E,-0.02443595154726934,1.3354711911724904
CD3G,-0.011839731429952418,1.0793523271830745
CD4,-0.021339013520289593,1.2074011012196717
CD68,-0.016271904805551143,1.2003735452893687
CD69,-0.01118136452946531,1.101545284717493
CD79A,-0.01602771595754065,1.2322277504681338
CD79B,-0.008267723940390504,1.052255382327364
CD80,-0.0007925528922968098,1.012115990734023
CD83,-0.011614439812073945,1.1566936785846385
CD86,-0.0025713152272663336,1.0225250492729328
CD8A,-0.01089002876250989,1.2627225532350401
