gene,mean,std
ABCC11,-0.013419213759380537,0.9582208027883644
ACTG2,-0.005291833450168997,1.0697967932614174
ADGRE5,0.006265422064689485,1.0543710531391324
ADH1B,-0.014116094653832267,1.1670968130230566
ADIPOQ,-0.011941958199051831,1.1206625500284677
AIF1,-0.011180660507797126,1.055923376847616
AKR1C1,-0.005260954291250932,1.0335081264066608
AKR1C3,-0.0021907911199755227,1.0059266137158247
ALDH1A3,0.001323366961742052,1.0549811270170166
ANGPT2,-0.0006238672923343922,1.1186095581958113
ANKRD28,-0.006426932492359185,0.9946516304374375
ANKRD29,0.011694516700814485,1.2124225207555162
APOBEC3A,0.0033768169425820835,1.0513671889192682
APOBEC3B,0.009261245126797006,1.0642469249412254
APOC1,-0.00855537651147874,1.0519363880796762
AQP3,-0.006318657424979924,1.0161687348928548
AVPR1A,-0.002522324344989954,1.0492917080535886
BACE2,-0.007607431354296376,1.03395663269761
BANK1,0.05452913790191735,1.3217333784766159
C15orf48,-0.026342066319016602,1.1225590078324357
C1QA,-0.009630771308985162,1.02513158369245
C1QC,-0.012117303146989234,1.028271146193631
C2orf42,0.00428866359862439,1.0382945393299685
C5orf46,-0.00301450329527752,0.9739660235501173
C6orf132,-0.013103265656996394,0.9487552714229571
CAV1,-0.013469959014726408,1.194725426985149
CAVIN2,-0.005246038483885572,1.034519451133884
CCL5,0.003173739191826088,1.133053145626965
CCL8,-0.007051708111094932,1.108734075360216
CCPG1,-0.012422102086439523,0.9957514030902579
CCR7,0.017248811189648366,1.1272920688793058
CD14,-0.01858442388236656,1.0594124180963715
CD163,-0.013338266469703588,1.1060039483755735
CD19,0.03370246095624659,1.2160662958291233
CD247,0.015243824064263658,1.115877970167044
CD27,0.011976619984017627,1.0841461020039251
CD274,0.004501679457753187,1.0634238540027945
CD3E,0.032877715159284594,1.2525408745431477
CD3G,0.0162039901168626,1.11886512605444
CD4,-0.001936028872009035,1.0891770107455352
CD68,-0.013812310006333655,1.0910509488492415
CD69,0.013724053479546349,1.1040913549115294
CD79A,0.03467662205722387,1.2000235824583105
CD79B,0.026830056400895887,1.1661166082368954
CD80,0.005461983738945759,1.095324563907572
CD83,0.015371436933811997,1.1972143786604186
CD86,0.0010541630827040043,1.0357102432302587
CD8A,0.004302390977457592,1.177874462190041
CD93,-0.011497918787712183,1.113126903895205
CDC42EP1,-0.0037868800923742856,0.9809983502254476
CEACAM6,-0.03783113954979868,1.1393582671752842
CEACAM8,0.00200748059806649,1.0458220707495358
CENPF,-0.010857304444174933,1.0021541266924079
CLEC14A,-0.0067112278771487306,1.105680654331044
